GPS Log,,,,,,,,
Item,Date,Elapse (s),Longitude,Latitude,Altitude (m),Heading,Speed (km/h),Total Distance (km)
331,00:30.1,"2,395.00",-2.436954,51.377328,69.3,191.3,2.5,0.517
332,00:37.1,"2,402.00",-2.436951,51.377339,69.3,191.3,0.7,0.518
333,00:52.1,"2,417.00",-2.436952,51.377313,69.3,192.3,0.7,0.521
334,00:59.1,"2,424.00",-2.436951,51.37733,69.3,184.5,1,0.523
335,01:05.1,"2,430.00",-2.436951,51.377335,69.3,178.7,0.3,0.524
336,01:06.1,"2,431.00",-2.436958,51.377331,69.3,178.7,2.6,0.525
337,01:13.1,"2,438.00",-2.436951,51.377337,69.3,179.8,0.4,0.525
338,01:28.1,"2,453.00",-2.43694,51.377311,69.3,178.8,0.7,0.528
339,01:38.1,"2,463.00",-2.436948,51.377334,69.3,183.7,0.9,0.531
340,01:44.1,"2,469.00",-2.43695,51.377333,69.3,183.7,0.1,0.531
341,01:45.1,"2,470.00",-2.436957,51.377334,69.3,183.7,1.9,0.532
342,01:53.1,"2,478.00",-2.436952,51.377337,69.3,184.1,0.2,0.532
343,02:01.1,"2,486.00",-2.436951,51.377334,69.3,183.7,0.2,0.532
344,02:02.1,"2,487.00",-2.436956,51.377325,69.3,183.7,3.8,0.534
